,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-ademamix,Python
49,ml-afv,Python
50,ml-agm,Python
51,ml-aim,Python
52,ml-all-pairs,Python
53,ml-ane-transformers,Python
54,ml-aspanformer,Python
55,ml-aura,Python
56,ml-autofocusformer,Python
57,ml-autofocusformer-segmentation,Python
58,ml-batchquant,Python
59,ml-behavioral-testing-for-mt,
60,ml-bilevel-train-dist,Python
61,ml-calibration,Jupyter Notebook
62,ml-capsules-inverted-attention-routing,Python
63,ml-cifar-10-faster,Python
64,ml-code-switched-speech-translation,Python
65,ml-codeswitching-translations,
66,ml-collegial-ensembles,Python
67,ml-compress-and-compare,Python
68,ml-core,Python
69,ml-covid-mobility,R
70,ml-cread,Python
71,ml-cvnets,Python
72,ml-cvpr2019-swd,Python
73,ml-dab,Python
74,ml-data-parameters,Python
75,ml-delphi,
76,ml-depth-pro,Python
77,ml-destseg,Python
78,ml-diffusion-alignment-gflownet,Python
79,ml-direct2.5,Python
80,ml-dms-dataset,Python
81,ml-dprecs,Jupyter Notebook
82,ml-dr,Python
83,ml-duet,Python
84,ml-entity-deduction-arena,Python
85,ml-entropy-reconstruction,Python
86,ml-envmapnet,Python
87,ml-equivariant-neural-rendering,Jupyter Notebook
88,ml-facelit,Python
89,ml-famae,Python
90,ml-fastvit,Python
91,ml-fct,Python
92,ml-ferret,Python
93,ml-finerecon,Python
94,ml-flair,Jupyter Notebook
95,ml-gaudi,
96,ml-gendered-translation,Ruby
97,ml-gmpi,Python
98,ml-gsn,Python
99,ml-hd-gist,Python
100,ml-heart-rate-models,Python
101,ml-hierarchical-confusion-matrix,TypeScript
102,ml-hugs,Python
103,ml-hypersim,Python
104,ml-interspeech2022-phi_rtn,
105,ml-jointnet,Python
106,ml-key-retrieval-code-tasks,Python
107,ml-keyframer,JavaScript
108,ml-kge,Python
109,ml-knowledge-conflicts,Python
110,ml-live-pose,
111,ml-llarp,Python
112,ml-lucid-datagen,Python
113,ml-mad-bench,Jupyter Notebook
114,ml-mcf,Python
115,ml-mdm,Python
116,ml-mgie,Python
117,ml-mia-bench,Jupyter Notebook
118,ml-MixupMP,Python
119,ml-mkqa,Python
120,ml-mobileclip,Python
121,ml-mobileone,Swift
122,ml-mofi,Python
123,ml-multiple-futures-prediction,Python
124,ml-mycelium,JavaScript
125,ml-ncg,Python
126,ml-neilf,Python
127,ml-neilfpp,Python
128,ml-neuman,Python
129,ml-no-token-left-behind,Jupyter Notebook
130,ml-np-rasp,Python
131,ml-nvas3d,Python
132,ml-ogen,Python
133,ml-pgdvs,Python
134,ml-planner,Python
135,ml-pointconvformer,Python
136,ml-pointersect,Python
137,ml-probabilistic-attention,Python
138,ml-projunit,Python
139,ml-qrecc,Python
140,ml-quant,Python
141,ml-recurrent-drafter,Python
142,ml-reed,Python
143,ml-rlgrad,Python
144,ml-robust-expert-augmentations,Python
145,ml-rpm-bench,Python
146,ml-sad,Python
147,ml-sampleplan,Python
148,ml-selfcond,Python
149,ml-shuffling-amplification,Python
150,ml-sigma-reparam,Python
151,ml-sigmoid-attention,Python
152,ml-slowfast-llava,Python
153,ml-spatial-librispeech,
154,ml-spin,Python
155,ml-stable-diffusion,Python
156,ml-stabledreamer,
157,ml-stuttering-events-dataset,Python
158,ml-superposition-prompting,Python
159,ml-symphony,Svelte
160,ml-tic-clip,Python
161,ml-toad,Python
162,ml-tract,Python
163,ml-transcript-translation-consistency-ratings,
164,ml-translate-vis,TypeScript
165,ml-tree-dst,Python
166,ml-tune-mode-convbn,Python
167,ml-tweak,Python
168,ml-upscale,Jupyter Notebook
169,ml-uwac,Python
170,ml-veclip,Jupyter Notebook
171,ml-vfi-smiff,Python
172,ml-vfm-kt,
173,ml-vision-transformers-ane,Python
174,music-feed-examples,Java
175,openjdk,Java
176,password-manager-resources,JavaScript
177,pfl-research,Jupyter Notebook
178,pkl,Java
179,pkl-evolution,
180,pkl-go,Go
181,pkl-go-examples,Go
182,pkl-intellij,Kotlin
183,pkl-jvm-examples,Groovy
184,pkl-k8s,Pkl
185,pkl-k8s-examples,
186,pkl-lang.org,JavaScript
187,pkl-lsp,Kotlin
188,pkl-neovim,Scheme
189,pkl-package-docs,Kotlin
190,pkl-pantry,Pkl
191,pkl-project-commons,
192,pkl-spring,Java
193,pkl-swift,Swift
194,pkl-swift-examples,Swift
195,pkl-vscode,TypeScript
196,pkl.tmbundle,
197,pytorch-speech-features,Python
198,rules_pkl,Starlark
199,sample-backyard-birds,Swift
200,sample-cloudkit-coredatasync,Swift
201,sample-cloudkit-encryption,Swift
202,sample-cloudkit-privatedb,Swift
203,sample-cloudkit-privatedb-sync,Swift
204,sample-cloudkit-queries,Swift
205,sample-cloudkit-sharing,Swift
206,sample-cloudkit-sync-engine,Swift
207,sample-cloudkit-tooling,JavaScript
208,sample-cloudkit-zonesharing,Swift
209,sample-food-truck,Swift
210,servicetalk,Java
211,swift-3-api-guidelines-review,Swift
212,swift-algorithms,Swift
213,swift-aoc-starter-example,Swift
214,swift-argument-parser,Swift
215,swift-asn1,Swift
216,swift-async-algorithms,Swift
217,swift-async-dns-resolver,Swift
218,swift-atomics,Swift
219,swift-cassandra-client,Swift
220,swift-certificates,Swift
221,swift-clang,C++
222,swift-clang-tools-extra,C++
223,swift-cluster-membership,Swift
224,swift-cmake-examples,CMake
225,swift-collections,Swift
226,swift-collections-benchmark,Swift
227,swift-compiler-rt,C
228,swift-container-plugin,Swift
229,swift-corelibs-libdispatch,C
230,swift-crypto,C
231,swift-distributed-actors,Swift
232,swift-distributed-tracing,Swift
233,swift-distributed-tracing-baggage-core,Swift
234,swift-distributed-tracing-extras,Swift
235,swift-embedded-examples,Swift
236,swift-evolution-staging,Swift
237,swift-for-wasm-examples,Swift
238,swift-getting-started-cli,Swift
239,swift-getting-started-package-library,Swift
240,swift-homomorphic-encryption,Swift
241,swift-homomorphic-encryption-protobuf,
242,swift-http-structured-headers,Swift
243,swift-http-types,Swift
244,swift-internals,HTML
245,swift-issues,
246,swift-libcxx,C++
247,swift-llbuild2,Swift
248,swift-lldb,C++
249,swift-llvm,LLVM
250,swift-log,Swift
251,swift-matter-examples,Swift
252,swift-metrics,Swift
253,swift-metrics-extras,Swift
254,swift-migration-guide,Markdown
255,swift-mmio,Swift
256,swift-nio,Swift
257,swift-nio-examples,Swift
258,swift-nio-extras,Swift
259,swift-nio-http2,Swift
260,swift-nio-imap,Swift
261,swift-nio-nghttp2-support,Swift
262,swift-nio-oblivious-http,Swift
263,swift-nio-ssh,Swift
264,swift-nio-ssl,C
265,swift-nio-ssl-support,Swift
266,swift-nio-transport-services,Swift
267,swift-nio-zlib-support,Swift
268,swift-numerics,Swift
269,swift-openapi-generator,Swift
270,swift-openapi-runtime,Swift
271,swift-openapi-urlsession,Swift
272,swift-playdate-examples,Swift
273,swift-protobuf,Swift
274,swift-protobuf-plugin,
275,swift-protobuf-test-conformance,
276,swift-sample-distributed-actors-transport,Swift
277,swift-service-context,Swift
278,swift-service-discovery,Swift
279,swift-standard-library-preview,Swift
280,swift-statsd-client,Swift
281,swift-string-processing-benchmarks,Swift
282,swift-system,Swift
283,swift-tools-support-async,Swift
284,swift-xcode-playground-support,Swift
285,swiftpm-on-llbuild2,Swift
286,tensor-visualizer,Svelte
287,tensorflow_macos,Shell
288,ToolSandbox,Python
289,tree-sitter-pkl,C
290,turicreate,C++
291,unityplugins,C#
292,VideoFlashingReduction,Mathematica
293,vqg-multimodal-assistant,Python
